file,total_claims,correct_predictions,accuracy,checkable_claims_total,accuracy_checkable_only,neutral_rate,tp,tn,fp,fn,false_positive_rate,false_negative_rate,f1_true_class,dominant_stage,dominant_stage_seconds,model_locked_total_seconds
parallel_like_results_en_v2_from_252.json,35,18,0.514,,,0.8,3,12,0,9,0.0,0.375,0.4,,,
parallel_like_results_en_v2_from_252_llm_on.json,35,26,0.743,,,0.571,9,12,0,3,0.0,0.125,0.857,,,
parallel_like_results_en_v2_from_252_llm_on_neutral_off.json,35,19,0.543,,,0.771,4,12,0,8,0.0,0.333,0.5,,,
parallel_like_results_en_v2_from_252_llm_preonly.json,35,27,0.771,,,0.486,11,12,0,1,0.0,0.042,0.957,,,
parallel_like_results_en_v2_from_252_scrape_upgrade_v1.json,35,23,0.657,,,0.629,7,12,0,5,0.0,0.208,0.737,,,
parallel_like_results_hi_v2_from_252.json,35,27,0.771,,,0.514,10,11,0,2,0.0,0.087,0.909,,,
parallel_like_results_kn_v2_from_252.json,35,14,0.4,17,0.824,0.829,2,9,2,10,0.087,0.435,0.25,,,
parallel_like_results_kn_v2_from_252_nock.json,35,29,0.829,35,0.829,0.4,11,9,2,1,0.087,0.043,0.88,,,
parallel_like_results_kn_v2_from_252_relax1.json,35,20,0.571,22,0.909,0.714,3,11,0,9,0.0,0.391,0.4,,,
parallel_like_results_ml_v2_from_252.json,35,11,0.314,9,1.0,0.886,2,14,0,12,0.0,0.429,0.25,,,
parallel_like_results_ml_v2_from_252_nock.json,35,31,0.886,35,0.886,0.286,12,13,1,2,0.036,0.071,0.889,,,
parallel_like_results_ml_v2_from_252_relax1.json,35,13,0.371,14,0.929,0.771,3,14,0,11,0.0,0.393,0.353,,,
parallel_like_results_multi_v2_from_252_5lang.json,175,135,0.771,167,0.808,0.417,52,59,1,9,0.008,0.074,0.912,,,
parallel_like_results_ta_v2_from_252.json,35,32,0.914,,,0.314,11,12,0,0,0.0,0.0,1.0,,,
parallel_like_results_te_v2_from_252.json,35,29,0.829,,,0.371,9,12,0,3,0.0,0.125,0.857,,,
